CMP_name,Food_name,SMILES,FDB_ID,CID,Pred_medicinal
,Other_beverages,CN(CCC1=CNC2=CC=CC=C12)C(C)=O,FDB001052,383154,1.0
,Other_green_vegetables,COC1=CC=C(CN=C=S)C=C1,FDB010518,123197,0.0
O-PHENYLPHENOL,Lemon,OC1=CC=CC=C1C1=CC=CC=C1,FDB010519,7017,0.0
,Tea,OC(=O)C1=CC=CC=C1C1=CC=C(O)C=C1,FDB010520,2759303,0.0
,Tea,OC1=CC=C(\\C=C/C(=O)C2=CC=CC=C2)C=C1,FDB010521,25021769,0.0
4-Methoxychalcone,Lemon,COC1=CC=C(C=C1)C(=O)\\C=C\\C1=CC=CC=C1,FDB010522,641818,0.0
,Herbs_condiments_and_spices,COC1=CC=C(\\C=C\\CO)C=C1,FDB010523,5314180,0.0
,Other_green_vegetables,CC1=CC2=C(C(=O)C(C)(C)C2)C(C)=C1CCOC1OC(CO)C(O)C(O)C1O,FDB010524,12314747,0.0
,Other_fruits,CCCCCC(O)CCCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCCCC(O)CCCCCCCC1=CC(C)OC1=O,FDB010525,85165175,0.0
,Root_vegetables,CC(C)CC(=O)C1=C(O)C=CC(=C1)C(C)=O,FDB010526,13308867,0.0
GINGERONE,Ginger,COC1=C(O)C=CC(CCC(C)=O)=C1,FDB010527,31211,0.0
HARMALOL,Sea-buckthornberry,CC1=NCCC2=C1NC1=C2C=CC(O)=C1,FDB001053,3565,0.0
,Fungi,OCC1=CC=C(C=C1)[N+]N,FDB010530,122997,0.0
,Other_green_vegetables,OCC1=CC=CC=C1C(O)=O,FDB010531,11920,0.0
,Apples_and_pears,OC1=CC=C(NC2=CC=CC=C2)C=C1,FDB010535,31208,0.0
,Oats,OC1=CC=CC2=C1COC2=O,FDB010536,12662077,0.0
ASCORBIGEN,Bitter_gourd,OC1COC2(O)C1OC(=O)C2(O)CC1=CNC2=CC=CC=C12,FDB001054,358022,0.0
,Other_green_vegetables,OC1COC(OCC2OC(OC3=CC=C(C=C)C=C3)C(O)C(O)C2O)C(O)C1O,FDB010538,13964506,0.0
2-VINYLPHENOL,Ceylon_Cinnamon,OC1=CC=CC=C1C=C,FDB010539,135442,0.0
4-VINYL-PHENOL,Blueberry,OC1=CC=C(C=C)C=C1,FDB010540,62453,0.0
,Other_green_vegetables,CC1C2C(CC3C4=CCC5=CC(=O)C(O)CC5(C)C4CC(O)C23C)OC11CCC(C)CO1,FDB010541,85284301,0.0
,Tea,COC1=CC(O)=C(C=C1)C1=CC2=C(OC1=O)C1=C(OC(C)(C)C=C1)C=C2,FDB010542,131751269,0.0
,Fungi,COC(=O)C1=CC=CC=C1OC,FDB010545,61151,0.0
Vulgaxanthin_I,Coomon_Beet,NC(=O)CCC(\\N=C\\C=C1CC(NC(=C\\1)C(O)=O)C(O)=O)C(O)=O,FDB001055,22524619,0.0
,Citrus_fruits,CNC1=CC=CC=C1C(O)=O,FDB010550,67069,1.0
,Cocoa,CC1=CC=C(C=C1)C1=CC=CC=C1,FDB010551,12566,0.0
HELIOTROPIN|PIPERONAL,Black_Pepper,O=CC1=CC2=C(OCO2)C=C1,FDB010553,8438,0.0
,Herbs_condiments_and_spices,OC(=O)C1=CC2=C(OCO2)C=C1,FDB010554,7196,0.0
,Other_green_vegetables,CC(=O)OCC1=CC2=C(OCO2)C=C1,FDB010555,9473,0.0
Vulgaxanthin-II,Coomon_Beet,OC(=O)CCC(\\N=C\\C=C1CC(NC(=C\\1)C(O)=O)C(O)=O)C(O)=O,FDB001056,3083672,0.0
METHYL-PHENYLACETATE,Corn,COC(=O)CC1=CC=CC=C1,FDB010559,7559,0.0
ETHYL-PHENYLACETATE,Corn,CCOC(=O)CC1=CC=CC=C1,FDB010560,7590,0.0
STYRALYL-ACETATE,Clove,CC(OC(C)=O)C1=CC=CC=C1,FDB010563,62341,0.0
PHENETHYL-RUTINOSIDE,Pomegranate,CC1OC(OCC2OC(OCCC3=CC=CC=C3)C(O)C(O)C2O)C(O)C(O)C1O,FDB010565,14312558,0.0
O-PHTHALIC-ACID,Raspberry,OC(=O)C1=C(C=CC=C1)C(O)=O,FDB010566,1017,0.0
,Tea,CCC(=O)C1=CC=CC=C1,FDB010567,7148,0.0
Betalamic_acid,Coomon_Beet,OC(=O)C1CC(=C\\C=O)\\C=C(N1)C(O)=O,FDB001057,6123097,0.0
,Herbs_condiments_and_spices,CCCC1=CC=C(OC)C=C1,FDB010570,7702,0.0
,Edible_fats_and_oils,CCCC1=CC=CC=C1C,FDB010571,14091,0.0
